x1[u meter],x2[u meter],A,alfa,D,D.C,frequency[Hz],velocity[cm\s]
0.2,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.008912488
0.2,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.309584258
0.2,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.081503596
0.2,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.022789679
0.2,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.030650904
0.2,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.167060619
0.2,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.516330434
0.2,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.960813165
0.3,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.694587007
0.3,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.388927792
0.3,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.647243073
0.3,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.164470138
0.3,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.026152283
0.3,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.061781324
0.3,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.27989696
0.3,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.692737868
0.3,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.120082826
0.4,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.717288881
0.4,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.462071773
0.4,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.719691102
0.4,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.235103218
0.4,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.008893515
0.4,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.110109489
0.4,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.457680687
0.4,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.950704585
0.4,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.274154459
0.5,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.518315768
0.5,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.164543903
0.5,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.648650022
0.5,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.20819475
0.5,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,0
0.5,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.231394508
0.5,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.67297645
0.5,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.227109363
0.5,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.556212477
0.6,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.319842748
0.6,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.981242924
0.6,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.449329292
0.6,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.164456131
0.6,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.004488793
0.6,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.225739412
0.6,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.746947351
0.6,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.457180806
0.6,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.727453613
0.7,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-1.102712586
0.7,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.695897732
0.7,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.261930496
0.7,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.055686818
0.7,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.021944893
0.7,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.118795147
0.7,0.7,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.563800575
0.7,0.8,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.378314062
0.7,0.9,0.5,-1,{'10^-5': 2e-05},0.35,200000,1.786417486
0.8,0.1,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.942610766
0.8,0.2,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.539239494
0.8,0.3,0.5,-1,{'10^-5': 2e-05},0.35,200000,-0.171614235
0.8,0.4,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.002647954
0.8,0.5,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.031042406
0.8,0.6,0.5,-1,{'10^-5': 2e-05},0.35,200000,0.072253976
